x_agent,y_agent,xdot_agent,ydot_agent,x_ball,y_ball,xdot_ball,ydot_ball,x_opponent,y_opponent,xdot_opponent,ydot_opponent
0.20245,0.46114,0.00000,0.37584,-1.53809,1.02693,0.55192,-1.23007,1.75921,0.43143,0.00000,0.57949
1.73150,0.40779,0.00000,-0.60772,1.59907,1.29274,-0.16764,0.49675,0.20000,0.15000,0.00000,0.00000
0.76263,0.15143,0.00000,-0.00097,0.35692,1.07893,0.89774,-0.64052,0.21259,0.15000,0.00000,0.00000
0.39046,0.47944,-1.75000,-0.00810,0.20734,0.68769,-2.08401,0.49521,0.23295,0.45260,0.00000,-0.33818
0.20000,0.20951,0.00000,-1.21506,-0.78071,0.94890,-1.75701,-0.11804,0.94931,0.15000,1.75000,0.00000
0.59842,0.18029,0.00000,-0.01241,0.01624,1.23647,0.99274,2.25227,1.31313,0.19283,0.00000,0.00993
0.54164,0.30141,1.75000,-0.98019,0.20810,1.03356,1.57133,0.30573,0.20000,0.36334,0.00000,-0.78389
0.25227,0.23658,0.00000,-0.02232,-0.25780,0.50177,1.99770,0.94032,0.39905,0.34066,-1.75000,0.94940
0.20000,0.21875,0.00000,1.29373,-0.67919,0.76526,-2.00678,-0.45435,0.87751,0.15000,1.75000,0.00000
2.11392,0.17442,1.75000,-0.03220,1.98872,0.81019,1.32537,-0.30726,0.20000,0.37173,0.00000,0.80356
0.20356,0.27511,0.00000,1.14444,-1.05899,1.27875,1.14582,-0.37053,1.30698,0.36965,-1.75000,0.85562
1.55345,0.45269,-1.75000,0.43035,1.41213,0.89164,-0.11920,-1.47293,0.20000,0.47924,0.00000,0.13679
0.20000,0.29897,0.00000,-0.98466,-1.15057,1.28904,0.19079,1.04720,1.28282,0.43646,0.00000,-0.45927
0.20868,0.15000,0.00000,0.00000,-0.11860,0.91822,-1.72295,-0.44827,0.57603,0.15000,0.00000,0.00000
0.20000,0.47336,0.00000,0.03873,-1.03545,0.88912,1.82175,0.15419,1.11935,0.42482,-1.75000,-0.52304
0.20000,0.43532,0.00000,-0.45674,-0.19052,0.60233,-1.18668,0.57546,0.33114,0.23819,1.75000,-1.14347
0.68618,0.15000,1.75000,0.00000,0.62901,0.45490,1.80036,0.09618,0.20000,0.23791,0.00000,1.24297
0.60919,0.46543,0.00000,0.33868,0.41246,0.91590,-0.94675,1.24258,0.20862,0.18485,0.00000,-0.00605
0.20000,0.30588,0.00000,-0.09272,-2.08889,0.97178,0.45750,0.38485,2.18827,0.24425,0.00000,-0.06942
0.20000,0.41845,0.00000,-0.54684,-1.19064,0.72110,1.08682,1.74269,1.25352,0.42695,-1.75000,0.61028
0.20000,0.47427,0.00000,0.25303,-0.93659,0.58055,-1.55924,-1.58931,1.12173,0.28179,0.00000,1.13345
1.74395,0.15000,0.00000,0.00000,1.53121,1.29357,-0.14342,-0.36142,0.20000,0.25567,0.00000,1.19916
0.70497,0.48022,-1.75000,-0.02435,0.56000,0.78554,-0.47754,-1.80618,0.20000,0.48121,0.00000,0.04255
0.70448,0.47325,-1.75000,0.21040,0.63857,0.75425,-1.16332,1.83552,0.20000,0.46456,0.00000,-0.24915
0.20000,0.44336,0.00000,0.49880,-1.77171,0.48350,-1.15316,0.81754,1.81500,0.16834,1.75000,0.03709
1.81595,0.15423,1.75000,0.00302,1.98451,0.43531,2.14032,-0.08793,0.20000,0.47793,0.00000,0.05264
1.78352,0.42103,0.00000,-0.33764,0.01480,1.11283,1.23854,0.79692,0.29460,0.20892,0.00000,-0.04657
2.08448,0.44227,0.00000,0.51108,1.93470,0.87055,1.29330,-1.82831,0.20000,0.47443,0.00000,-0.11973
1.47964,0.45893,-1.75000,-0.29261,1.39276,0.79919,-1.82588,1.00363,0.20000,0.35186,0.00000,-0.81899
1.30431,0.15920,1.75000,-0.00110,0.99259,0.78746,1.63682,-1.14800,0.20000,0.37826,0.00000,0.82850
1.06034,0.15000,1.75000,0.00000,0.76165,1.19934,1.32582,-0.35799,0.20000,0.15000,0.00000,0.00000
0.20421,0.48030,0.00000,0.09060,-0.72959,0.91947,0.71809,-1.38592,0.96421,0.43642,-1.75000,0.55818
1.57208,0.47981,0.00000,-0.02467,1.46795,1.13971,-0.16962,1.09128,0.20000,0.38548,0.00000,-0.69427
0.20062,0.30715,0.00000,-0.95945,-0.57582,1.01628,1.28839,0.71980,0.67147,0.42261,0.00000,-0.17503
0.81608,0.31874,1.75000,-0.91540,0.63277,1.24055,0.00931,0.98410,0.20000,0.30422,0.00000,-0.96212
0.71781,0.44268,0.00000,0.52459,0.55504,0.66641,0.97622,-1.79375,0.20000,0.48018,0.00000,0.12983
0.20972,0.35130,0.00000,0.87089,-0.06356,1.15631,1.45923,1.49771,1.78472,0.37501,0.00000,0.16922
0.27081,0.34148,-1.75000,0.95288,-0.03100,1.01339,-1.24866,-0.89409,0.60033,0.15000,1.75000,0.00000
