x_agent,y_agent,xdot_agent,ydot_agent,x_ball,y_ball,xdot_ball,ydot_ball,x_opponent,y_opponent,xdot_opponent,ydot_opponent
0.48780,0.99781,0.50000,0.48148,0.74115,0.49721,0.45546,0.51758,0.00000,0.99781,0.50000,0.48148
0.28455,0.00000,0.50000,0.48980,0.60979,0.60642,0.56749,0.41804,0.00000,0.00000,0.50000,0.48980
0.00000,0.83951,0.50000,0.29630,0.24910,0.23820,0.42594,0.20260,0.54065,0.86376,0.00000,0.70370
0.31301,0.83951,0.50000,0.29630,0.67647,0.42227,0.37870,0.42491,0.00000,0.00000,0.50000,0.48980
0.00000,0.80705,0.50000,0.74074,0.23987,0.14315,0.33150,0.29173,0.51220,0.00000,1.00000,0.48980
0.00000,0.94811,0.50000,0.38889,0.48562,0.36501,0.35333,0.44917,0.09959,0.99890,0.50000,0.50000
0.65447,0.00000,1.00000,0.48980,0.81025,0.25343,0.65197,0.29001,0.00000,0.57804,0.50000,0.85185
0.00000,0.00000,0.50000,0.48980,0.10888,0.34639,0.62869,0.36639,0.80081,0.70748,0.50000,0.22222
0.17073,0.20557,1.00000,0.03704,0.55668,0.44402,0.63387,0.43823,0.00000,0.62672,0.50000,0.18519
0.46341,0.99755,0.50000,0.51852,0.70456,0.44401,0.43656,0.52328,0.00000,0.77841,0.50000,0.25926
0.21341,0.37628,0.50000,0.92593,0.53457,0.37035,0.59530,0.27393,0.00000,0.77380,0.50000,0.75926
0.01423,0.88721,0.50000,0.68519,0.45541,0.48676,0.45085,0.26365,0.22764,0.70237,0.50000,0.79630
0.00000,0.00000,0.50000,0.48980,0.25956,0.68330,0.54202,0.42368,0.60705,0.00000,0.50000,0.48980
0.00000,0.00000,0.50000,0.48980,0.49091,0.38884,0.34693,0.34754,0.19919,0.00000,1.00000,0.48980
0.00000,0.32558,0.50000,0.07407,0.37361,0.47782,0.61436,0.46271,0.22764,0.74294,0.00000,0.24074
0.00000,0.74054,0.50000,0.77778,0.27071,0.24047,0.36106,0.26959,0.52642,0.26066,0.50000,0.96296
0.96748,0.48207,0.50000,0.88889,0.91692,0.51595,0.53696,0.29548,0.00000,0.66420,0.50000,0.81481
0.45528,0.57804,0.00000,0.85185,0.72336,0.44318,0.36073,0.42487,0.00000,0.00000,0.50000,0.48980
0.25610,0.00000,1.00000,0.48980,0.58173,0.41884,0.64763,0.39098,0.00000,0.00000,0.50000,0.48980
0.00000,0.77841,0.50000,0.25926,0.43073,0.22826,0.31644,0.35495,0.19919,0.20557,1.00000,0.03704
0.00000,0.99890,0.50000,0.50000,0.06762,0.40052,0.59168,0.45088,0.87195,0.94811,0.50000,0.38889
0.47358,0.83951,0.00000,0.29630,0.75685,0.42547,0.36443,0.42442,0.00000,0.96393,0.50000,0.40741
0.24661,0.56636,0.00000,0.16049,0.59980,0.51902,0.40040,0.44910,0.00948,0.20557,0.50000,0.03704
0.85366,0.00000,0.50000,0.48980,0.90599,0.18968,0.60731,0.42946,0.00000,0.97385,0.50000,0.57407
0.00000,0.43579,0.50000,0.11111,0.35609,0.27756,0.32346,0.36308,0.34146,0.00000,1.00000,0.48980
0.00000,0.37628,0.50000,0.92593,0.37679,0.52375,0.56875,0.30385,0.31301,0.91065,0.00000,0.66667
0.00000,0.89081,0.50000,0.33333,0.42373,0.22556,0.68661,0.50767,0.12805,0.70748,0.00000,0.22222
0.00000,0.99240,0.50000,0.55556,0.14424,0.42348,0.52525,0.27841,0.82520,0.57804,0.50000,0.85185
0.55014,0.07574,0.50000,0.00000,0.74469,0.66110,0.49093,0.41910,0.00000,0.00000,0.50000,0.48980
0.00000,0.96393,0.50000,0.40741,0.02110,0.42768,0.42576,0.25379,1.00000,0.00000,0.50000,0.48980
0.00000,0.37628,0.50000,0.92593,0.47494,0.42096,0.36561,0.32913,0.19919,0.00000,1.00000,0.48980
0.00000,0.53617,0.50000,0.14815,0.16304,0.38678,0.53792,0.55266,0.73984,0.92918,0.50000,0.64815
0.42683,0.70237,0.50000,0.79630,0.70434,0.24817,0.43771,0.58904,0.00000,0.99781,0.50000,0.48148
0.00000,0.00000,0.50000,0.48980,0.38338,0.56753,0.49661,0.39713,0.25610,0.43579,0.50000,0.11111
0.00000,1.00000,0.50000,0.51852,0.39572,0.30002,0.66427,0.47589,0.20122,0.99835,0.00000,0.49074
0.28455,0.99781,1.00000,0.48148,0.64898,0.24842,0.67366,0.37910,0.00000,0.93229,0.50000,0.37037
0.76829,0.00000,1.00000,0.48980,0.86036,0.17844,0.61912,0.37375,0.00000,0.99781,0.50000,0.48148
0.54065,0.80705,0.00000,0.74074,0.73684,0.41470,0.46588,0.26750,0.00000,0.80705,0.50000,0.74074
0.00000,0.00000,0.50000,0.48980,0.36819,0.28852,0.63121,0.48988,0.25610,0.94771,0.00000,0.62963
0.28455,0.00000,1.00000,0.48980,0.59479,0.40108,0.64470,0.37577,0.00000,0.48207,0.50000,0.88889
0.08536,0.98368,0.00000,0.57407,0.54436,0.33669,0.39836,0.26390,0.01423,0.70237,0.50000,0.79630
1.00000,0.36232,0.50000,0.08642,0.99147,0.48864,0.58186,0.41167,0.00000,0.41154,0.50000,0.91358
0.00000,0.16660,0.50000,0.99074,0.03778,0.59499,0.49204,0.44431,0.96341,0.66710,0.50000,0.20370
0.66870,0.91155,1.00000,0.35185,0.79831,0.53845,0.52365,0.45817,0.00000,0.80896,0.50000,0.27778
0.00000,0.13524,0.50000,1.00000,0.28084,0.64412,0.56896,0.36978,0.54268,0.53005,0.00000,0.87037
0.00000,0.00000,0.50000,0.48980,0.20273,0.57485,0.51338,0.44506,0.64024,0.77841,0.00000,0.25926
0.17073,0.00000,1.00000,0.48980,0.58566,0.38494,0.60358,0.46496,0.00000,0.53617,0.50000,0.14815
0.48374,0.70748,0.50000,0.22222,0.72563,0.51784,0.42733,0.52656,0.00000,0.43579,0.50000,0.11111
0.62601,0.93229,0.00000,0.37037,0.76985,0.52519,0.43960,0.49295,0.00000,0.20557,0.50000,0.03704
0.00000,0.32558,0.50000,0.07407,0.47191,0.37977,0.34337,0.37231,0.15176,0.73112,1.00000,0.23457
0.00000,0.32558,0.50000,0.07407,0.50367,0.52570,0.49500,0.50980,0.00000,0.32558,0.50000,0.07407
0.28455,0.83951,0.00000,0.29630,0.65283,0.29322,0.38548,0.56708,0.00000,0.00000,0.50000,0.48980
0.00000,0.70748,0.50000,0.22222,0.41467,0.45175,0.58440,0.48022,0.34146,0.98578,0.50000,0.44444
0.96748,0.86376,0.50000,0.70370,0.94471,0.40275,0.52602,0.25885,0.00000,0.93229,0.50000,0.37037
0.00000,0.94771,0.50000,0.62963,0.33685,0.25938,0.48945,0.60089,0.28455,0.66420,0.50000,0.81481
0.96951,0.99835,0.50000,0.49074,0.94134,0.47900,0.46298,0.50333,0.00000,0.00000,0.50000,0.48980
0.45935,0.13524,0.50000,1.00000,0.72291,0.36279,0.39855,0.30545,0.00000,0.37628,0.50000,0.92593
0.68293,0.00000,0.50000,0.48980,0.50000,0.52679,0.42722,0.53596,0.02845,0.00000,0.50000,0.48980
0.03252,0.70748,0.00000,0.22222,0.51377,0.27203,0.31418,0.39397,0.05691,0.83951,0.50000,0.29630
0.34146,0.00000,0.50000,0.48980,0.62074,0.29934,0.63260,0.29399,0.00000,0.48207,0.50000,0.88889
0.00000,0.00000,0.50000,0.48980,0.34509,0.61021,0.57893,0.36020,0.43631,0.44681,0.00000,0.90123
0.00000,0.00000,0.50000,0.48980,0.38022,0.28240,0.67053,0.36447,0.28591,0.32558,0.00000,0.07407
0.00000,0.66420,0.50000,0.81481,0.37747,0.26869,0.61982,0.26863,0.26016,0.57804,0.00000,0.85185
0.00000,0.91065,0.50000,0.66667,0.18063,0.28918,0.66143,0.46507,0.68699,0.97496,0.00000,0.59259
0.00000,0.89081,0.50000,0.33333,0.47626,0.27578,0.42903,0.60234,0.02845,0.99781,1.00000,0.48148
1.00000,0.00000,0.50000,0.48980,0.97517,0.51769,0.44957,0.40665,0.00000,0.97496,0.50000,0.59259
