x_agent,y_agent,xdot_agent,ydot_agent,x_ball,y_ball,xdot_ball,ydot_ball
1.34333,0.15000,1.75000,0.00000,1.22953,0.62715,1.88497,-0.99940
0.20000,0.15000,0.00000,0.00000,-0.54244,1.19420,-1.08575,-0.63773
0.20000,0.46202,0.00000,-0.29150,-0.36237,0.98367,1.32483,1.13194
1.01667,0.15000,0.00000,0.00000,0.76229,1.47564,-0.57809,0.60647
1.19167,0.15000,0.00000,0.00000,0.78422,1.21788,0.98763,-0.92411
1.05555,0.45451,-1.75000,-0.34867,1.00928,0.72751,-1.49941,0.63752
0.20000,0.15000,0.00000,0.00000,-1.56838,1.28838,-0.33466,0.21585
0.66667,0.45300,-1.75000,0.46800,0.42780,1.30732,-0.96693,-0.66363
0.75416,0.40746,0.00000,0.71300,0.55580,0.62579,1.02118,-1.91532
0.20000,0.43740,0.00000,0.56600,-0.82573,0.93422,1.15466,-0.54040
0.66667,0.31170,1.75000,-0.95300,0.38897,1.17696,1.15522,0.46079
1.95000,0.47440,0.00000,0.27200,1.92493,0.68018,-0.05006,2.41112
0.20000,0.46371,0.00000,-0.28333,-1.27096,0.78747,0.18340,2.17624
1.57500,0.23673,0.00000,1.25200,1.35764,1.18017,-0.75070,-0.57464
0.55000,0.42933,0.00000,-0.51200,0.53769,1.03567,-1.28675,1.25774
0.20000,0.41300,0.00000,0.68850,-1.13795,0.38543,-1.92412,-1.16619
0.20000,0.47073,0.00000,-0.21800,-2.05781,0.91795,0.36483,-1.20405
0.20000,0.42933,0.00000,-0.51200,-0.21804,1.07240,-1.48156,0.51736
1.58056,0.15000,0.00000,0.00000,1.33597,1.52815,-0.06954,0.18941
1.48333,0.43740,-1.75000,0.56600,1.48743,0.81519,-0.62614,1.86712
1.95833,0.44640,-1.75000,-0.41400,-0.28453,1.41779,0.73558,0.46036
1.99167,0.41744,1.75000,0.66400,0.00000,1.20000,-0.74255,2.31924
1.66667,0.48200,-1.75000,-0.02200,1.56253,0.81560,-0.44520,-1.71449
1.57084,0.15000,1.75000,0.00000,1.53434,0.54564,1.40796,0.19987
0.20000,0.44520,0.00000,0.51700,-0.88221,1.02262,0.77880,-1.27008
0.20000,0.15000,0.00000,0.00000,-0.88994,1.15955,1.32530,0.39417
0.46666,0.15000,1.75000,0.00000,0.27679,0.54638,1.63696,1.14034
1.54167,0.46986,0.00000,0.32100,1.30125,1.21542,0.04500,-1.22945
0.20000,0.23171,0.00000,-1.16533,-0.69476,0.77569,-1.87615,-0.52271
1.83750,0.42933,1.75000,-0.51200,1.71440,1.29409,0.49138,0.77461
0.49167,0.15000,1.75000,0.00000,-0.19801,1.21378,0.80008,-0.67445
0.38229,0.46225,-1.75000,0.39450,0.26250,0.66581,-1.49317,1.68054
1.01667,0.37100,-1.75000,0.86000,0.75639,0.70577,1.27086,-1.76928
0.20000,0.47255,0.00000,-0.19350,-1.43572,0.61672,1.19331,1.78495
1.05556,0.47331,0.00000,0.27200,0.95790,0.95289,-0.37473,1.72801
0.20000,0.28693,0.00000,1.12133,-1.52163,1.28090,-0.28102,-0.41697
1.79444,0.15000,1.75000,0.00000,1.57820,0.74947,1.59703,-1.38897
0.70167,0.15000,1.75000,0.00000,0.29220,0.89943,1.83367,-0.36463
0.58241,0.35826,0.00000,0.90356,0.20407,1.09707,-0.68382,-1.00585
0.20000,0.46649,0.00000,0.35040,-0.41722,0.87733,-0.83950,-1.50054
1.46875,0.23836,0.00000,-1.14900,1.22419,1.31671,-0.22971,-0.06486
1.34167,0.34152,-1.75000,0.95800,1.14492,1.05014,-0.90947,-0.93295
0.90416,0.31170,-1.75000,-0.95300,0.68823,0.73787,-1.97728,-0.54329
0.20000,0.23836,0.00000,-1.14900,-1.54681,0.81799,0.74832,0.76697
0.20000,0.19500,0.00000,1.35000,-0.54165,0.84725,-1.76406,-0.79385
2.03426,0.47162,0.00000,-0.19622,1.95863,1.18902,-0.44234,0.91645
0.79167,0.15000,1.75000,0.00000,0.46479,1.27242,0.52188,0.13064
0.20000,0.38540,0.00000,-0.70800,-0.41970,0.46570,2.15853,0.43902
0.20000,0.25833,0.00000,-1.10000,-2.16042,1.09572,-0.41109,1.20870
0.51111,0.43393,-1.75000,-0.47933,-0.03508,1.02805,-1.45322,0.50885
0.94667,0.39575,0.00000,0.76200,0.82818,0.59727,1.72481,-1.44112
0.20000,0.46519,0.00000,0.35040,-1.39135,0.74617,-1.32372,0.95663
0.20000,0.35100,0.00000,-0.83050,-0.35281,1.14790,0.84903,1.12816
0.99722,0.30931,1.75000,1.05600,0.76935,0.55645,1.71407,-1.45683
0.29167,0.42699,-1.75000,-0.15886,-0.09701,0.83802,-0.74138,-1.83931
2.12500,0.15000,0.00000,0.00000,2.07227,0.60147,1.27849,0.09439
0.20000,0.46533,0.00000,0.37000,-0.05652,0.81037,-0.94980,1.64770
1.60000,0.21840,-1.75000,-1.19800,1.46675,1.26619,0.24326,-0.21319
1.90000,0.44520,1.75000,0.51700,0.00000,1.20000,0.42312,1.34658
0.31667,0.32840,1.75000,-0.90400,-0.24043,0.84142,1.85635,0.29140
1.19167,0.31040,0.00000,1.05600,1.07966,0.47927,-1.70604,3.59387
2.19167,0.41853,-1.75000,0.66400,-1.71820,1.07203,-0.37191,-1.01495
0.20000,0.36936,0.00000,0.86000,-0.51463,0.50589,1.70153,3.26590
0.20000,0.15000,0.00000,0.00000,-0.82415,1.31653,0.65203,0.00086
1.02639,0.15000,1.75000,0.00000,0.59831,1.14675,1.17993,-0.79574
1.22500,0.32676,-1.75000,-0.90400,1.22311,1.14588,-1.22154,0.02748
0.56167,0.15000,0.00000,0.00000,0.07700,1.09743,1.50992,-0.20490
1.14167,0.31040,-1.75000,1.05600,0.36251,0.93890,0.98259,1.04411
0.20000,0.15000,0.00000,0.00000,-1.61142,1.17144,0.79884,0.94886
0.20000,0.38540,0.00000,-0.70800,-2.16833,0.31990,-2.13777,-0.63301
1.84167,0.43740,0.00000,0.56600,0.00000,1.20000,0.16492,1.10314
1.95000,0.31040,0.00000,1.05600,1.78282,1.10696,0.00505,-0.98415
2.19167,0.47440,-1.75000,0.27200,2.25169,0.84007,-1.46969,0.72368
1.42500,0.48273,0.00000,0.07600,0.00000,1.20000,1.41853,1.47195
0.23125,0.43885,-1.75000,0.54150,-0.09140,0.91508,-1.70731,-0.74132
1.77500,0.43740,1.75000,0.56600,-1.65311,1.29542,-1.41695,-1.58421
1.01666,0.48200,-1.75000,-0.02200,0.93784,0.94798,-0.98805,1.58044
0.20000,0.48020,0.00000,0.17400,-0.09802,0.66303,2.86237,1.90345
0.20000,0.37196,0.00000,-0.75700,-2.05932,0.21628,2.09085,-0.82429
1.59028,0.30453,1.75000,1.07233,1.53733,0.58322,0.03361,2.11741
0.82708,0.34347,0.00000,-0.85500,0.57032,1.28859,-0.31854,0.19295
0.20000,0.27520,0.00000,1.15400,-1.29298,1.13926,0.85349,-0.69565
0.20000,0.48091,0.00000,-0.02200,-1.44746,0.53896,-1.47766,-1.69636
0.96250,0.45330,-1.75000,-0.36500,-0.07626,1.31395,-0.76977,0.98528
2.25000,0.15000,0.00000,0.00000,2.34967,0.64887,-1.54791,-0.13095
0.84583,0.47800,-1.75000,-0.12000,1.11387,1.06568,1.82407,-0.81529
