x_agent,y_agent,xdot_agent,ydot_agent,x_ball,y_ball,xdot_ball,ydot_ball,x_opponent,y_opponent,xdot_opponent,ydot_opponent
1.20000,0.19500,0.00000,1.35000,0.00000,1.20000,0.49337,2.16161,1.14167,0.19500,-1.75000,1.35000
1.14167,0.23673,-1.75000,1.25200,0.00000,1.20000,0.49337,2.16161,1.08333,0.23673,-1.75000,1.25200
1.14167,0.27520,0.00000,1.15400,0.00000,1.20000,0.49337,2.16161,1.08333,0.27520,0.00000,1.15400
1.14167,0.31040,0.00000,1.05600,0.00000,1.20000,0.49337,2.16161,1.02500,0.31040,-1.75000,1.05600
1.08333,0.34233,-1.75000,0.95800,0.00000,1.20000,0.49337,2.16161,0.96667,0.34233,-1.75000,0.95800
1.14167,0.37100,1.75000,0.86000,0.00000,1.20000,0.49337,2.16161,0.90833,0.37100,-1.75000,0.86000
1.14167,0.39640,0.00000,0.76200,0.00000,1.20000,0.49337,2.16161,0.85000,0.39640,-1.75000,0.76200
1.08333,0.41853,-1.75000,0.66400,0.00000,1.20000,0.49337,2.16161,0.85000,0.41853,0.00000,0.66400
1.14167,0.43740,1.75000,0.56600,0.00000,1.20000,0.49337,2.16161,0.79167,0.43740,-1.75000,0.56600
1.20000,0.45300,1.75000,0.46800,0.00000,1.20000,0.49337,2.16161,0.79167,0.45300,0.00000,0.46800
1.25833,0.46533,1.75000,0.37000,0.00000,1.20000,0.49337,2.16161,0.79167,0.46533,0.00000,0.37000
1.25833,0.47440,0.00000,0.27200,0.00000,1.20000,0.49337,2.16161,0.79167,0.47440,0.00000,0.27200
1.20000,0.48020,-1.75000,0.17400,0.00000,1.20000,0.49337,2.16161,0.79167,0.48020,0.00000,0.17400
1.14167,0.48273,-1.75000,0.07600,0.00000,1.20000,0.49337,2.16161,0.79167,0.48273,0.00000,0.07600
1.20000,0.48200,1.75000,-0.02200,0.00000,1.20000,0.49337,2.16161,0.79167,0.48200,0.00000,-0.02200
1.25833,0.47800,1.75000,-0.12000,0.00000,1.20000,0.49337,2.16161,0.79167,0.47800,0.00000,-0.12000
