#{"t_start": 1655309891.3992147, "env_id": "SlimeVolley-v0"}
r,l,t
-4,689,0.998218
-4,688,1.990767
-5,533,2.720319
-5,496,3.286376
-5,522,3.928725
-5,568,4.912047
-5,759,6.002758
-5,488,6.596494
-5,1054,8.165216
-5,572,8.903589
-4,727,9.815094
-5,737,10.661003
-5,577,11.31745
-5,567,11.98594
-5,596,12.64068
-5,841,13.572982
-5,493,14.149345
-5,480,14.694458
-5,576,15.361411
-5,651,16.098674
-4,560,16.729267
-5,492,17.274289
-5,490,17.820182
-5,486,18.362785
-5,458,18.863492
-5,623,19.583015
-5,583,20.237431
-5,687,21.008667
-4,511,21.648956
-4,716,22.466738
-5,764,23.383062
-5,557,24.033788
-5,445,24.51703
-5,517,25.111094
-5,571,25.758116
-5,442,26.247154
-5,584,26.915853
-5,482,27.459711
-4,787,28.343229
-5,501,28.890044
-5,523,29.532105
-5,673,30.952801
-5,741,32.560536
-5,509,33.164568
-4,799,34.107533
-5,559,34.775572
-5,572,35.467266
-5,540,36.074344
-5,552,36.747347
-5,401,37.224755
-5,558,37.857801
-5,683,38.692845
-5,560,39.488891
-5,514,40.159896
-5,773,41.978889
-5,523,42.616889
-5,542,43.26099
-5,616,44.014372
-5,581,44.858402
-5,457,45.503403
-5,541,46.548365
-5,453,47.191369
-5,533,47.975404
-5,571,48.680402
-5,558,49.431402
-5,510,50.133401
-4,571,50.943365
-5,548,51.632372
-5,579,52.508567
-5,577,53.696085
-4,603,54.398015
-5,523,55.07509
-5,602,55.92464
-5,548,56.747658
-4,611,57.683631
-5,499,58.744623
-5,404,59.778172
-5,626,60.630169
-4,694,61.542719
-5,800,62.55933
-5,535,63.260861
-5,599,63.963148
-5,648,64.880674
-4,779,65.951696
-5,581,66.646667
-5,649,67.401719
-5,682,68.203709
-5,613,68.893308
-5,809,69.849272
-4,629,70.612272
-4,501,71.225376
-5,607,71.898384
-5,591,72.535396
-4,571,73.280362
-5,574,74.03636
-5,495,74.574407
-5,578,75.250447
-5,563,75.892584
-5,420,76.421557
-5,446,77.068425
-5,496,77.632426
-5,557,78.547426
-5,513,79.579516
-5,541,80.575511
-5,674,81.722543
-5,431,82.244615
-5,518,82.918714
-5,648,83.71076
-5,538,84.344757
-5,413,84.926747
-5,692,86.332722
-5,600,87.587743
-5,459,88.319721
-5,627,89.314724
-4,694,90.083719
-5,419,90.693756
-5,641,91.617146
-5,707,92.413293
-5,456,92.922259
-4,642,93.663342
-5,560,94.386352
-5,473,94.945477
-5,532,95.665447
-5,529,96.295484
-5,604,97.116484
-5,557,97.868494
-5,447,98.446071
-5,486,99.006076
-5,438,99.530121
-5,717,100.3585
-5,494,100.916499
-5,483,101.679469
-5,472,102.526475
-5,528,103.370473
-5,676,104.497469
-5,494,105.190472
-5,507,105.840505
-5,495,106.488474
-5,716,107.362504
-4,871,108.32851
-5,480,108.867472
-5,737,109.712469
-5,486,110.290507
-5,615,110.999548
-5,643,111.732639
-5,520,112.338619
-4,639,113.047601
-5,567,113.679616
-5,690,114.529618
-5,499,115.101699
-5,428,115.628173
-5,542,116.229233
-5,488,116.827211
-5,612,117.529169
-5,644,118.283246
-3,962,119.392658
-5,635,120.102674
-5,629,120.790382
-4,525,121.40138
-4,744,122.245424
-5,625,122.963434
-4,721,123.801553
-4,538,124.418274
-5,429,124.910407
-5,737,125.768238
-5,547,126.377237
-5,789,127.325267
-5,451,128.097293
