#{"t_start": 1654790097.4113054, "env_id": "SlimeVolley-v0"}
r,l,t
-4,594,1.059769
-4,666,2.102683
-5,447,2.773365
-5,498,3.442391
-5,487,4.10627
-5,591,4.929602
-5,634,5.739023
-5,477,6.357507
-5,570,7.139438
-5,818,8.383998
-5,827,9.469599
-5,580,10.211098
-5,698,11.192503
-5,486,11.838491
-5,744,12.862595
-5,611,13.646999
-5,419,14.175627
-3,879,15.283677
-5,717,16.196339
-5,609,16.970792
-5,592,17.718467
-5,524,18.374295
-5,631,19.16908
-5,511,19.842501
-5,545,20.53214
-5,658,21.358422
-4,772,22.315375
-5,483,22.921215
-4,813,23.941564
-5,517,24.589855
-5,623,25.373765
-5,551,26.07102
-4,749,27.019812
-5,625,27.796443
-5,475,28.400068
-4,903,29.537756
-5,431,30.06666
-5,778,31.04137
-5,509,31.777581
-5,607,32.544183
-5,483,33.148722
-5,642,33.952403
-5,430,34.508398
-5,630,35.294569
-5,806,36.297292
-4,560,36.997921
-5,473,37.583803
-5,588,38.316327
-5,706,39.20459
-5,783,40.23252
-4,844,41.292124
-5,596,42.036848
-4,1019,43.310879
-5,464,43.895067
-5,605,44.667763
-5,631,45.480094
-5,848,46.554844
-5,445,47.109611
-5,496,47.733898
-5,627,48.537892
-5,515,49.183479
-5,464,49.768367
-5,629,50.552263
-5,641,51.36502
-5,593,52.11809
-5,734,53.0351
-5,644,53.834925
-5,806,54.859186
-5,638,55.648201
-5,552,56.350149
-5,661,57.188656
-5,613,57.97088
-5,407,58.473481
-5,628,59.255019
-5,496,59.884894
-5,626,60.707874
-5,672,61.550042
-5,798,62.579545
-5,521,63.240814
-5,473,63.840877
-3,859,64.960097
-5,549,65.644662
-3,756,66.581962
-5,617,67.355335
-5,549,68.038469
-5,521,68.68963
-4,613,69.448696
-5,403,69.955128
-5,537,70.63211
-4,942,71.820515
-4,1151,73.256907
-4,836,74.308344
-4,715,75.198289
-5,558,75.910754
-5,853,76.997078
-4,521,77.64658
-5,611,78.412031
-5,512,79.074644
-5,406,79.625038
-5,443,80.201111
-4,638,81.015616
-5,597,81.796724
-5,715,82.696637
-5,522,83.356426
-5,422,83.887175
-5,584,84.627778
-5,514,85.268894
-5,570,85.985286
-5,717,86.889128
-4,661,87.730963
-5,738,88.673244
-5,1057,90.027083
-5,592,91.238545
-5,772,92.79241
-2,772,94.213803
-5,553,95.080834
-5,813,96.307111
-4,930,97.654
-5,944,99.092219
-5,750,100.126611
-5,581,100.858774
-5,576,101.622477
-5,856,103.0021
-5,526,103.724447
-4,699,104.821295
-5,432,105.389844
-5,527,106.166925
-5,516,106.780081
-5,805,108.096065
-5,509,108.860231
-5,824,109.942488
-5,666,110.713273
-4,720,111.651133
-5,817,112.536004
-5,583,113.226967
-5,679,113.972688
-4,675,114.719784
-5,850,115.66543
-4,887,117.091474
-5,417,117.781687
-4,899,119.25319
-5,496,119.942767
-5,437,120.433277
-5,531,120.991226
-5,706,121.730091
-5,800,122.923894
-5,975,124.475363
-5,598,125.587411
-5,570,126.95938
-5,513,128.005396
-5,481,129.160511
-5,582,130.266507
-4,801,131.633657
-5,645,133.917656
-5,625,134.886664
-5,694,136.145653
-5,565,137.068657
-5,968,138.319681
-5,549,139.24169
-5,615,140.2277
-4,1235,142.345711
-5,372,142.929741
-5,865,144.009712
-5,428,144.493754
-5,635,145.679713
-4,600,146.943725
-5,666,148.400727
-5,618,149.183764
-5,496,150.00174
-5,550,151.234725
-5,606,152.523725
-5,494,153.511753
-5,528,154.522725
-4,1004,156.446729
-5,618,157.174767
-5,503,157.883732
-5,409,158.445725
-4,572,160.061724
-5,660,161.622752
-5,517,163.312579
-5,687,165.299585
-5,765,166.780245
-5,676,168.264277
-5,487,169.284266
-5,649,170.371906
-5,636,171.275022
-5,477,171.953998
-5,503,172.69105
-5,465,173.373351
-5,952,174.962841
-5,897,176.344393
-5,594,177.31646
-4,583,178.227448
-5,685,179.225898
-5,818,180.478441
-5,717,181.517531
-5,602,182.759496
-5,426,183.371481
-5,680,184.397506
-5,443,185.019497
-5,819,186.168777
-4,793,187.627355
-5,511,188.576125
-5,483,189.333407
-5,925,190.676221
-5,634,191.608258
-5,543,192.49025
-5,775,193.631035
-5,501,194.408911
-5,645,195.437941
-5,796,196.626492
-5,476,197.304364
-4,745,198.375863
-5,741,199.477309
-5,602,200.560022
-5,603,201.556104
-5,577,202.47307
-5,546,203.27351
-5,910,204.652471
-4,939,205.992433
-5,1129,207.734441
-4,587,208.673433
-4,706,209.727419
-5,822,210.974267
-5,669,211.913229
-5,616,212.78423
-5,548,213.564231
-5,702,214.638211
-5,756,215.821211
-5,785,216.946236
-4,502,217.644227
-5,440,218.279084
