#{"t_start": 1657122720.3781674, "env_id": "SlimeVolley-v0"}
r,l,t
2.05,705,0.212
4.1,910,0.392052
0.18,518,0.483047
2.72,672,0.599999
0.08,508,0.712029
0.81,581,0.817035
-0.02,498,0.903033
-0.69,431,0.971029
4.24,724,1.100998
1.05,605,1.207032
0.09,509,1.288035
-0.41,459,1.358029
1.01,601,1.45603
0.02,502,1.536046
4.84,884,1.676
1.06,606,1.766999
5.98,998,1.945035
1.17,617,2.034028
4.45,845,2.166997
1.75,675,2.267029
2.87,787,2.454
0.51,551,2.591
2.82,782,2.763999
2.32,632,2.934999
0.8,580,3.033997
-0.99,401,3.110005
1.11,611,3.363001
0.32,532,3.518998
0.36,536,3.628999
6.74,1174,3.919001
1.29,629,4.049001
0.92,592,4.18497
3.25,825,4.334969
2.06,706,4.455969
2.49,749,4.58209
-0.91,409,4.664994
3.48,748,4.837968
-0.41,459,4.915997
3.7,770,5.042535
2.49,749,5.168522
-0.5,450,5.253522
1.34,634,5.36256
-0.33,467,5.436526
0.21,521,5.535524
-1.25,375,5.606528
1.79,679,5.723525
2.56,756,5.855522
1.68,668,5.975558
3.99,799,6.125523
1.29,629,6.227552
0.11,511,6.323562
-1.12,388,6.392558
2.02,702,6.545521
2.45,745,6.686616
0.16,516,6.776599
-0.18,482,6.865607
1.23,623,6.999942
1.92,692,7.118335
0.21,521,7.201343
-0.18,482,7.285337
0.35,535,7.379344
-0.96,404,7.465881
1.08,608,7.600884
1.14,614,7.69791
-0.44,456,7.78988
0.28,528,7.886911
1.07,607,7.980881
3.9,890,8.127924
0.16,516,8.24491
0.73,573,8.346916
-0.31,469,8.421964
-0.73,427,8.494883
3.62,762,8.619879
0.31,531,8.698915
3.79,779,8.828092
0.6,560,8.914083
0.31,531,9.003084
0.89,589,9.090096
3.07,807,9.222064
0.04,504,9.302094
-0.58,442,9.388088
0.69,569,9.872057
1.84,584,10.50396
2.15,715,11.928951
-0.01,499,12.587954
-0.64,436,13.273956
2.82,782,14.615262
-1.23,377,15.298611
-0.08,492,16.276128
-0.67,433,16.949147
0.55,555,17.78913
3.25,825,18.808125
2.39,639,19.598125
-0.28,472,20.109128
0.4,540,20.815126
-0.49,451,21.266136
1.46,646,21.904129
0.82,582,22.406638
0.92,592,22.914639
-0.7,430,23.278676
1.49,649,23.862693
3.17,717,24.496679
-0.62,438,24.925678
0.95,595,25.448679
-0.1,490,26.006688
-0.62,438,26.372683
1.51,651,26.95568
-0.08,492,27.367718
0.52,552,27.880678
-0.82,418,28.241682
-0.5,450,28.647243
-0.3,470,29.088241
5.31,931,29.911244
0.68,568,30.492765
-0.37,463,30.987764
-0.14,486,31.452765
2.0,700,32.093762
0.23,523,32.562762
0.13,513,33.072763
0.92,592,33.592795
0.27,527,34.117767
4.57,957,34.95793
0.12,512,35.408974
1.17,617,35.972465
1.63,663,36.645461
1.49,649,37.236462
1.51,651,37.803458
2.21,721,38.435462
-0.61,439,38.882461
0.49,549,39.368466
0.27,527,39.871463
3.13,713,40.510459
-0.41,459,40.960461
1.92,692,41.545462
0.23,523,42.10299
1.12,612,42.642992
1.22,622,43.21699
-0.04,496,43.652989
1.32,632,44.211194
-0.12,488,44.66318
-0.1,490,45.146178
-0.6,440,45.55618
0.83,583,46.103181
-0.08,492,46.541177
1.59,659,47.132736
-0.14,486,47.587709
-0.12,488,48.029707
2.25,625,48.56871
2.35,635,49.220706
1.11,611,49.75007
1.49,649,50.339063
-0.4,460,50.777094
-0.18,482,51.225636
-0.07,493,51.631601
-0.29,471,52.064593
1.47,647,52.593565
0.8,580,53.190113
1.94,694,53.842785
1.29,629,54.412786
0.93,593,54.932784
0.42,542,55.481855
-1.03,397,55.835826
0.03,503,56.263824
1.6,660,56.895829
-0.42,458,57.360981
4.6,960,58.261978
-0.53,447,58.643981
0.96,596,59.171981
1.23,623,59.775008
2.49,649,60.375981
-0.28,472,60.827981
0.46,546,61.332982
0.84,584,61.884992
2.4,740,62.512991
-0.05,495,62.937992
0.32,532,63.426995
0.76,576,63.996005
0.27,527,64.486035
1.02,602,65.079021
-0.21,479,65.551038
-0.24,476,66.060013
3.11,711,66.739004
-0.63,437,67.141006
0.84,584,67.665004
0.94,594,68.198006
1.12,612,68.767522
0.1,510,69.205522
1.45,645,69.799524
2.67,767,70.54355
1.07,607,71.085552
-0.44,456,71.478525
1.2,620,72.041563
0.46,546,72.595391
1.74,674,73.235907
1.55,655,73.871909
2.64,764,74.582916
1.03,603,75.206906
0.78,578,75.762007
0.43,543,76.233007
-0.99,401,76.628978
1.72,672,77.287262
-1.11,389,77.632266
1.59,659,78.227261
1.14,614,78.795262
1.98,698,79.466261
2.76,776,80.138268
2.04,704,80.818262
1.03,603,81.380264
1.58,658,81.9902
0.49,549,82.511263
-0.14,486,82.97225
0.42,542,83.459247
0.06,506,83.952249
0.94,594,84.487249
-0.23,477,84.935247
0.89,589,85.474249
1.38,538,86.041278
1.42,642,86.63329
0.23,523,87.105247
2.37,737,87.771249
0.79,579,88.319249
-0.44,456,88.756283
1.01,601,89.293235
1.19,619,89.898235
0.98,598,90.562242
1.03,603,91.159234
1.34,634,91.743233
0.4,540,92.246234
1.66,566,92.776278
-0.07,493,93.251264
-1.02,398,93.630235
0.36,536,94.113233
2.95,695,94.845263
1.39,639,95.461235
-0.97,403,95.813235
0.54,554,96.332236
1.66,566,96.908382
2.05,705,97.59238
-0.19,481,98.03638
1.46,646,98.672384
0.92,592,99.225402
-0.34,466,99.650406
-0.51,449,100.092403
0.33,533,100.573404
0.47,547,101.105404
0.6,560,101.616404
-0.18,482,102.101965
3.04,704,102.817935
-0.09,491,103.407024
0.77,577,103.978022
1.12,612,104.555571
2.44,744,105.25357
1.36,636,105.874573
1.38,638,106.482571
2.64,764,107.216571
1.32,632,107.842571
1.08,608,108.449622
0.3,530,109.012591
0.53,553,109.520118
0.48,548,110.041152
1.0,600,110.687115
0.17,517,111.149117
-0.13,487,111.634121
0.12,512,112.123117
-0.05,495,112.626116
0.97,597,113.208117
-0.75,425,113.611115
-0.59,441,114.026118
-0.34,466,114.522118
-0.29,471,114.952117
0.06,506,115.459116
0.75,575,116.00212
0.22,522,116.536117
-0.89,411,116.953115
3.83,883,117.814628
3.95,795,118.678729
1.68,668,119.363741
0.41,541,119.89373
0.52,552,120.413759
-0.28,472,120.859728
1.28,628,121.48773
2.39,739,122.297759
0.55,555,122.832734
-0.21,479,123.269732
-0.51,449,123.770763
0.52,552,124.275846
0.87,587,124.849844
0.8,580,125.399817
0.19,519,125.939817
0.24,524,126.45783
-0.02,498,126.937818
0.86,586,127.487077
0.14,514,128.011076
0.84,584,128.621603
2.21,721,129.346605
0.86,586,129.918602
2.75,775,130.711609
1.79,679,131.405147
2.81,681,132.051378
0.92,592,132.615421
1.36,636,133.271378
0.27,527,133.805378
1.31,631,134.394378
0.51,551,134.931996
0.09,509,135.442964
4.42,842,136.264965
-0.2,480,136.760966
1.23,623,137.425963
2.31,631,138.070964
1.0,600,138.656965
2.19,719,139.359967
-0.86,414,139.745964
-0.09,491,140.265966
1.6,660,140.930963
0.79,579,141.512964
-0.85,415,141.921968
0.14,514,142.462965
0.58,558,142.982964
1.3,630,143.598979
-0.8,420,144.019966
0.15,515,144.563965
0.17,517,145.061971
