#{"t_start": 1656969776.268565, "env_id": "SlimeVolley-v0"}
r,l,t
-5,678,0.581271
-5,526,0.903362
-5,502,1.514608
-5,440,3.204433
-5,530,3.562003
-5,816,4.220485
-5,549,4.535152
-5,456,6.184154
-5,405,6.57131
-5,639,7.056973
-5,640,9.417787
-4,706,9.985167
-5,586,10.377939
-5,678,10.980351
-5,530,13.261542
-5,458,13.528578
-5,621,13.919538
-5,641,15.988188
-5,566,16.388308
-5,436,16.705801
-5,509,17.103653
-4,928,19.392553
-5,726,19.997036
-5,527,20.312195
-5,890,22.224601
-4,557,22.601285
-5,595,22.939956
-5,488,24.836949
-5,493,25.139066
-4,728,25.561163
-5,434,25.837946
-5,585,28.008647
-5,751,28.872859
-4,820,29.421296
-5,551,31.344912
-5,609,31.754521
-4,554,32.182803
-5,769,34.221383
-5,560,34.644692
-5,517,34.945898
-5,633,36.993076
-5,635,37.531786
-5,651,38.057724
-5,538,38.457977
-5,614,40.249792
-5,992,40.956803
-4,782,42.8104
-5,485,43.08159
-5,480,43.3316
-5,557,43.873418
-5,508,45.218827
-5,572,45.575377
-5,427,45.934792
-5,498,46.309792
-5,618,47.908584
-4,725,48.355758
-5,502,48.652668
-5,507,48.918281
-5,599,50.403053
-5,556,50.686298
-4,587,50.983173
-4,730,52.360701
-5,523,52.626352
-5,704,52.985726
-5,588,54.488545
-5,496,54.756408
-4,919,55.256414
-4,726,56.814589
-5,475,57.095864
-5,612,57.395834
-5,521,57.661459
-5,560,59.133081
-5,392,59.336247
-5,447,59.570608
-5,694,59.914358
-5,625,61.251197
-5,531,61.516825
-5,541,61.801163
-5,738,63.148225
-5,600,63.476394
-4,665,63.820128
-5,508,64.070128
-5,473,65.438855
-4,703,65.80136
-5,556,66.082608
-5,527,67.335428
-5,722,67.726079
-5,490,67.976079
-5,608,68.28858
-5,684,69.898424
-5,643,70.30465
-5,602,70.758438
-5,555,72.195946
-4,548,72.522266
-4,1065,73.156367
-5,663,74.788546
-5,536,75.05417
-5,639,75.382268
-5,606,76.875296
-5,757,77.250306
-5,532,77.515919
-5,585,78.80011
-5,583,79.112641
-5,643,79.443917
-5,828,80.867933
-5,538,81.149227
-4,511,81.414837
-4,932,82.870929
-5,808,83.292835
-5,584,83.592812
-5,525,83.858444
-5,617,85.180878
-5,470,85.415252
-5,666,85.743379
-5,494,87.168089
-5,553,87.467994
-5,517,87.733655
-5,715,88.093031
-4,913,89.580765
-5,640,89.908889
-5,710,91.239174
-5,892,91.710972
-5,525,91.976596
-5,733,93.335784
-5,638,93.679544
-5,440,93.898283
-5,555,94.179534
-5,536,95.479386
-5,527,95.748134
-5,482,95.998136
-5,886,97.419
-5,615,97.747155
-5,508,98.012779
-5,855,99.421997
-5,702,99.800095
-5,799,100.209446
-5,542,101.486532
-5,421,101.720932
-4,914,102.189693
-5,564,102.474066
-3,871,103.914618
-5,556,104.195869
-5,705,104.551453
-5,617,105.866764
-5,592,106.179263
-5,434,106.382388
-5,564,107.700812
-5,817,108.15709
-5,465,108.391464
-5,542,108.657092
-4,1019,110.175621
-5,817,110.584846
-5,767,112.087842
-4,702,112.431607
-5,753,112.822223
-4,1070,114.372105
-4,727,114.731495
-4,853,116.156358
-5,731,116.531358
-5,833,117.109483
-5,583,117.359483
-4,722,117.656359
-5,475,117.859483
-5,701,118.156358
-5,638,118.421983
-5,711,118.718864
-5,727,119.018924
-5,565,119.268924
-5,612,119.527411
-4,924,119.91805
-5,709,120.214911
-5,874,120.593093
-5,828,120.936844
-5,515,121.155594
-5,575,121.389969
-5,444,121.57747
-5,529,121.814979
-4,963,122.205605
-3,1047,122.65873
-5,629,122.908732
-5,778,123.240113
-5,679,123.521366
-5,646,123.818238
-5,639,124.083863
-5,611,124.333866
-5,701,124.63376
-5,691,124.915025
-4,825,125.25876
-4,962,125.667954
-5,533,125.888695
-5,670,126.169934
-5,648,126.435556
-5,542,126.66993
-5,916,127.04493
-5,634,127.313707
