#{"t_start": 1657000094.4394138, "env_id": "SlimeVolley-v0"}
r,l,t
0.36,536,0.403552
0.26,526,0.765319
2.64,764,1.350382
0.95,595,3.171059
1.46,646,3.55244
-0.09,491,3.845841
1.74,674,5.625011
1.68,668,6.060601
2.49,749,6.507149
1.67,667,8.212301
0.45,545,8.548786
0.92,592,8.902684
1.86,686,9.311712
1.82,582,10.972998
1.21,621,11.339525
-0.29,471,11.617994
2.57,757,13.266234
2.1,710,13.674234
1.72,672,14.059234
0.92,592,15.643414
1.36,636,16.012414
3.48,848,16.502413
0.99,599,18.017409
1.0,600,18.377439
2.2,720,18.801453
1.08,608,20.319413
2.97,697,20.734415
0.33,533,21.051412
0.14,514,21.355438
-0.23,477,22.800414
-0.71,429,23.049413
0.43,543,23.363414
1.64,664,23.745413
1.42,642,25.268649
2.32,732,25.69965
1.16,616,26.060649
2.84,684,27.702575
0.64,564,28.040567
0.0,500,28.337568
5.46,946,30.098598
-1.1,390,30.329595
1.34,634,30.706604
0.07,507,32.244564
0.41,541,32.586563
-0.88,412,32.823563
-0.19,481,33.098583
3.71,871,34.791817
2.24,724,35.22282
1.32,632,35.589819
-0.68,432,35.83982
1.59,659,37.430267
0.23,523,37.740507
0.46,546,38.063744
0.78,578,39.567938
-0.29,471,39.847161
1.64,664,40.236176
1.99,699,41.737134
2.81,681,42.18317
0.88,588,42.53555
2.33,633,42.914541
0.89,589,44.572542
1.59,659,44.970763
1.16,616,45.335123
3.98,898,47.03196
1.71,671,47.423956
4.48,848,49.083783
0.14,514,49.403814
-0.35,465,49.676812
0.52,552,50.007817
0.75,575,51.535993
0.37,537,51.876993
1.11,611,52.245031
1.65,665,52.641033
0.95,595,54.189996
1.28,628,54.553997
4.76,876,55.06501
0.12,512,56.564306
4.42,842,57.065272
1.36,536,57.376272
1.72,672,59.050227
1.01,601,59.410226
4.42,942,59.973434
-0.4,460,61.420467
4.38,838,61.920033
1.13,613,62.280924
1.13,613,63.799932
0.55,555,64.125926
1.88,688,64.538923
0.35,535,66.02704
-0.21,479,66.318079
-0.53,447,66.578395
-0.05,495,66.871607
-0.26,474,68.327925
0.94,594,68.689954
-0.17,483,68.972955
2.1,610,69.329962
0.26,526,70.859096
