#{"t_start": 1657313209.9088993, "env_id": "SlimeVolley-v0"}
r,l,t
-0.62,438,10.979501
1.52,652,36.043669
4.21,821,65.821624
0.57,557,86.161645
-1.06,394,99.744928
1.51,651,123.813299
0.49,549,145.480308
1.35,635,170.494937
-0.27,473,189.594924
0.06,506,210.3686
0.8,580,235.129704
2.42,642,261.88405
0.75,575,286.280596
0.27,527,307.885199
0.92,592,331.613343
-0.06,494,350.545952
2.95,695,379.836268
2.07,707,402.710535
4.34,834,421.47316
-0.24,476,433.803243
2.5,750,453.38744
1.56,656,466.751301
1.75,675,484.080338
-0.07,493,501.679292
4.0,800,530.221226
-0.42,458,547.677789
0.51,551,567.08761
0.94,594,588.341902
-0.28,472,604.816714
1.47,647,628.028942
2.56,756,647.210536
1.91,691,662.324221
-0.58,442,672.781125
2.22,722,689.160297
4.56,956,710.021344
2.64,764,726.974786
-0.29,471,738.468995
1.02,602,752.480588
2.06,706,767.710346
3.07,807,785.208159
0.3,530,798.256251
2.43,743,816.431583
2.28,728,834.129691
2.11,711,851.336748
1.36,636,866.837972
2.3,630,882.397357
1.19,619,897.360325
0.67,567,911.121045
1.85,685,927.057233
-0.74,426,936.14648
1.58,658,950.185365
1.23,623,963.555504
0.19,519,976.30668
2.33,633,990.369718
1.92,692,1005.057528
-0.29,471,1015.390473
-0.36,464,1026.778913
-0.19,481,1037.44447
0.72,572,1049.938193
-0.32,468,1060.179466
1.69,669,1075.874884
-0.69,431,1085.343195
0.16,516,1096.416546
1.6,660,1110.480979
1.86,686,1127.009314
-0.66,434,1136.585752
0.13,513,1147.78991
0.13,513,1159.55595
0.6,560,1172.483624
0.91,591,1185.753316
2.81,781,1202.466652
3.33,733,1218.185794
1.1,610,1232.64866
1.87,687,1247.768943
5.09,809,1265.33185
0.94,594,1278.034653
1.65,665,1294.397434
1.18,618,1308.36485
3.35,735,1324.57654
0.88,588,1337.257378
2.11,711,1354.498964
0.49,549,1366.77691
0.6,560,1379.129846
1.96,596,1392.173243
0.75,575,1406.222299
3.81,781,1423.650782
2.45,745,1440.141922
-1.1,390,1448.796369
2.77,777,1467.631176
-0.22,478,1478.122083
0.57,557,1490.512062
-0.05,495,1501.696179
1.22,622,1516.665071
1.62,562,1529.217098
0.79,579,1541.986193
-0.17,483,1552.817282
-0.02,498,1564.868744
-0.47,453,1575.35147
0.69,569,1588.126033
1.43,643,1602.413155
0.02,502,1615.358148
0.23,523,1628.409392
-0.68,432,1639.538305
-0.49,451,1650.93285
3.34,834,1671.487473
-0.91,409,1680.642671
0.67,567,1693.40132
-0.8,420,1703.001269
-0.38,462,1714.097703
0.76,576,1727.719141
-0.58,442,1737.86246
2.34,734,1754.899335
0.7,570,1769.689744
0.98,598,1783.630128
1.35,635,1798.307595
1.92,692,1814.240638
3.67,667,1830.732349
0.07,507,1842.343559
-0.61,439,1852.652354
1.17,617,1866.820705
4.41,841,1888.025663
3.48,848,1907.822024
1.92,692,1923.712852
2.45,745,1940.974335
1.67,667,1957.926893
1.08,608,1973.297864
4.52,952,1995.784077
1.44,644,2010.954201
-0.12,488,2024.04967
-0.76,424,2034.513328
1.63,663,2050.216352
0.39,539,2063.091156
4.87,987,2087.657466
2.4,740,2105.116617
-0.26,474,2116.168598
0.67,567,2129.358877
-0.05,495,2142.219923
-0.23,477,2153.633385
1.63,663,2169.227121
0.61,561,2182.619784
0.93,593,2198.38025
1.59,659,2214.040468
2.45,645,2229.308738
1.94,694,2245.723573
4.31,931,2268.984937
0.02,502,2280.837589
1.1,610,2295.129298
1.34,634,2310.135373
0.69,569,2325.414334
3.23,823,2345.609569
1.1,610,2359.970776
4.32,832,2379.493353
-0.58,442,2390.795814
2.12,712,2407.886895
0.74,574,2421.545323
-0.36,464,2432.632832
3.96,896,2455.666092
0.82,582,2469.510091
2.64,764,2487.862013
1.41,641,2503.225012
0.69,569,2517.825545
3.12,712,2534.775876
0.51,551,2548.071244
-0.09,491,2559.845747
1.86,686,2578.539034
2.5,750,2596.615764
1.51,651,2612.257183
3.89,889,2634.124506
0.32,532,2648.628761
1.7,670,2666.735934
2.13,713,2686.053738
4.7,870,2709.736141
2.49,749,2730.222069
-0.1,490,2742.104418
4.43,843,2762.522389
1.01,601,2777.285008
-0.01,499,2790.085798
-0.33,467,2801.418869
-0.14,486,2813.338931
5.42,942,2836.947444
-0.11,489,2850.000873
2.41,741,2868.35886
0.8,580,2882.295897
2.43,743,2900.372778
1.91,691,2918.83525
-0.03,497,2931.139838
1.54,654,2947.15176
0.39,539,2960.394534
1.2,620,2977.574073
-0.17,483,2989.673724
3.76,876,3011.091118
1.35,635,3026.769783
1.47,647,3043.897235
3.28,828,3064.63338
2.31,731,3082.857396
2.01,701,3100.051229
2.73,773,3121.137998
0.49,549,3134.667202
4.31,931,3157.720868
0.3,530,3170.882837
2.14,714,3189.801248
-0.64,436,3200.671267
0.4,540,3214.033834
1.08,608,3229.178057
0.28,528,3243.496028
-0.98,402,3253.415896
1.83,683,3270.237975
0.47,547,3283.776156
-0.81,419,3295.706399
0.92,592,3310.405759
2.12,712,3328.242288
1.08,608,3343.412324
0.64,564,3358.632784
1.04,604,3373.720365
2.56,756,3392.594677
0.35,535,3405.907735
3.15,715,3425.699411
2.99,799,3446.633386
2.89,789,3467.088287
1.28,628,3483.653628
0.41,541,3498.014334
0.5,550,3512.261353
1.15,615,3527.796827
0.88,588,3542.566775
1.71,671,3560.922807
2.01,701,3578.629462
2.37,737,3597.297712
2.84,784,3617.212241
1.98,698,3636.406147
-0.23,477,3648.394473
2.99,799,3668.950128
0.69,569,3683.299296
-0.25,475,3697.127365
0.82,582,3712.075759
1.24,624,3727.932279
1.43,643,3744.23566
1.79,579,3761.044346
1.85,685,3779.063156
1.26,626,3795.137851
1.37,637,3811.291539
0.86,586,3827.477336
3.09,809,3848.185521
1.96,696,3865.864911
0.14,514,3879.01033
-0.31,469,3892.2571
0.91,591,3907.657705
3.55,755,3926.913118
2.98,798,3947.638866
-0.41,459,3961.035749
3.83,783,3981.545685
3.22,822,4005.009801
2.1,710,4023.300968
1.65,665,4041.451693
0.68,568,4056.243571
1.99,699,4074.267277
4.62,962,4099.209287
-0.14,486,4113.462737
-0.41,459,4125.637887
2.72,772,4145.928616
2.03,703,4164.749704
1.79,679,4183.606041
-0.24,476,4196.344056
0.57,557,4210.819878
1.11,611,4227.351468
0.85,585,4243.887897
0.22,522,4257.297528
2.55,755,4277.301954
1.82,682,4295.119025
1.82,682,4314.031369
0.62,562,4328.756553
1.05,605,4344.485315
2.67,767,4364.289151
2.77,777,4386.546122
1.35,635,4402.999213
1.32,632,4419.559652
0.52,552,4433.989969
3.35,835,4457.640417
2.76,776,4478.059121
0.02,502,4491.314711
1.86,686,4508.906396
1.6,560,4524.53997
1.17,617,4541.044304
3.13,813,4562.376384
4.49,949,4587.969022
0.5,550,4603.651464
1.03,603,4619.259408
4.83,983,4645.029933
2.19,719,4663.709897
3.0,700,4682.867299
1.87,687,4700.779683
1.97,697,4718.833079
1.73,673,4736.367854
3.59,859,4760.209452
1.88,688,4778.075438
0.91,591,4793.266159
1.33,633,4809.781559
0.52,552,4824.966866
3.22,822,4846.432749
5.1,1010,4872.928213
2.63,763,4892.716215
1.15,615,4910.749269
3.75,875,4934.209633
2.56,756,4954.289932
1.53,653,4971.304057
1.87,687,4991.604686
3.11,811,5015.500476
1.8,680,5035.618901
4.3,930,5062.878615
4.31,931,5088.443769
2.86,786,5108.790512
1.81,681,5126.954545
3.24,724,5145.845544
5.59,1059,5175.7296
1.89,689,5194.195014
3.39,839,5216.351389
0.59,559,5231.233417
4.22,922,5256.932542
4.07,907,5280.755048
6.39,1039,5308.340841
5.12,1012,5334.775403
4.13,813,5357.138089
2.33,733,5376.522182
8.47,1247,5409.465081
2.7,770,5429.768279
2.58,758,5450.998686
0.92,592,5466.494306
-0.06,494,5479.531663
3.38,838,5501.807948
1.57,657,5520.309917
1.43,643,5537.093797
7.63,1263,5570.096708
3.66,866,5592.892631
4.91,991,5620.436188
3.84,884,5643.885404
3.51,851,5666.291986
2.24,724,5685.349552
2.08,708,5704.926673
13.3,1530,5744.536306
6.32,1132,5774.362664
4.98,898,5797.730761
4.67,967,5823.922012
6.65,1165,5854.524937
4.34,934,5879.002401
8.04,1304,5913.168679
8.02,1302,5948.713735
6.08,1108,5978.043857
1.62,662,5995.572091
6.44,1144,6025.641587
14.53,1553,6067.9797
3.41,841,6090.444677
3.63,863,6113.255037
3.29,829,6135.198946
1.78,678,6154.761227
2.11,711,6173.367654
9.51,1451,6211.942955
8.48,1348,6247.438209
6.11,1011,6275.271864
4.79,879,6298.420385
9.24,1424,6335.852454
12.56,1756,6382.397865
12.25,1725,6429.739671
8.88,1388,6467.261967
8.54,1354,6503.676569
3.7,870,6526.523822
4.43,943,6553.075498
8.9,1390,6589.659733
11.11,1611,6632.60403
3.17,817,6654.272527
5.14,1014,6682.553386
5.61,861,6705.825457
4.19,919,6730.105838
3.71,871,6753.316692
6.46,1146,6785.392612
4.43,943,6810.303172
3.84,884,6833.973264
8.91,1391,6870.244347
12.96,1796,6923.28835
7.55,1255,6958.513778
14.56,1956,7013.382247
7.34,1234,7047.267499
19.36,2436,7113.944028
8.92,1392,7151.263121
6.46,1146,7181.563709
5.09,1009,7208.650491
10.25,1525,7250.647377
9.42,1342,7286.62969
24.02,2802,7361.5978
16.5,2050,7416.85127
13.79,1879,7469.679822
15.46,1946,7521.987602
17.69,2269,7582.816152
14.3,1930,7634.93137
13.56,1856,7686.638404
22.27,2727,7760.572484
23.02,2702,7833.170931
23.82,2882,7910.106589
7.67,1267,7945.103421
16.78,2178,8003.867859
28.0,3000,8084.997285
16.78,2178,8143.540271
19.83,2483,8212.355776
22.9,2790,8288.531091
30.0,3000,8369.531051
21.34,2634,8441.188972
28.0,3000,8525.275338
20.75,2575,8595.888746
29.0,3000,8677.396983
26.0,3000,8759.324037
26.0,3000,8841.628655
27.0,3000,8922.841657
21.95,2595,8993.069416
7.3,1230,9026.405629
29.0,3000,9109.353055
19.19,2319,9172.749318
26.0,3000,9254.526984
18.13,2313,9317.651037
27.0,3000,9400.932009
29.0,3000,9483.179375
12.83,1783,9532.024263
28.0,3000,9614.325034
26.0,3000,9697.642464
28.0,3000,9780.269804
27.0,3000,9862.226393
28.0,3000,9944.388929
28.0,3000,10027.319406
30.0,3000,10109.850112
29.0,3000,10191.856411
30.0,3000,10274.518823
28.0,3000,10357.358033
30.0,3000,10439.125721
26.0,3000,10520.945778
29.0,3000,10602.264717
31.0,3000,10688.107888
30.0,3000,10770.47533
27.0,3000,10853.807878
30.0,3000,10936.716879
29.0,3000,11021.133274
29.0,3000,11103.91517
30.0,3000,11186.158192
30.0,3000,11269.194288
29.0,3000,11354.812474
30.0,3000,11437.601975
27.0,3000,11520.378497
29.0,3000,11603.104484
30.0,3000,11687.774871
28.0,3000,11770.531885
29.0,3000,11853.686212
31.0,3000,11935.833546
30.0,3000,12021.591761
30.0,3000,12112.338805
31.0,3000,12202.868575
30.0,3000,12293.559965
30.0,3000,12384.195585
29.0,3000,12475.570771
27.0,3000,12566.24516
29.0,3000,12657.331386
30.0,3000,12745.476886
29.0,3000,12828.615132
31.0,3000,12911.127348
30.0,3000,12993.749075
28.0,3000,13086.531833
30.0,3000,13179.0433
32.0,3000,13271.514692
30.0,3000,13364.250354
30.0,3000,13448.384137
29.0,3000,13531.579961
30.0,3000,13614.973573
31.0,3000,13698.264389
30.0,3000,13783.063729
29.0,3000,13866.558894
30.0,3000,13950.315818
30.0,3000,14033.500662
30.0,3000,14118.058897
30.0,3000,14200.832904
30.0,3000,14284.633059
30.0,3000,14370.049237
30.0,3000,14455.640962
30.0,3000,14538.831274
27.0,3000,14622.672392
29.0,3000,14706.237963
30.0,3000,14790.030609
30.0,3000,14873.638431
30.0,3000,14957.317021
30.0,3000,15041.173754
30.0,3000,15126.509263
29.0,3000,15210.089471
29.0,3000,15293.958535
29.0,3000,15378.474356
29.0,3000,15463.152531
29.0,3000,15547.438403
30.0,3000,15630.822891
29.0,3000,15714.105377
29.0,3000,15798.655101
29.0,3000,15881.939459
30.0,3000,15965.998057
30.0,3000,16050.299413
30.0,3000,16135.692162
30.0,3000,16219.775918
30.0,3000,16303.868837
30.0,3000,16388.638086
31.0,3000,16473.663506
30.0,3000,16558.004116
30.0,3000,16641.894573
31.0,3000,16725.790258
29.0,3000,16811.730176
30.0,3000,16896.570889
30.0,3000,16980.740043
30.0,3000,17065.516392
30.0,3000,17151.617061
30.0,3000,17236.773879
30.0,3000,17324.834947
31.0,3000,17431.547843
29.0,3000,17525.875141
29.0,3000,17619.950314
30.0,3000,17715.059384
30.0,3000,17809.064862
30.0,3000,17895.559647
31.0,3000,17980.907919
30.0,3000,18066.330342
30.0,3000,18151.236132
29.0,3000,18236.972709
31.0,3000,18321.958112
30.0,3000,18406.375671
28.0,3000,18491.427812
30.0,3000,18577.407844
29.0,3000,18662.519347
30.0,3000,18747.617926
30.0,3000,18832.222531
30.0,3000,18927.705813
31.0,3000,19022.828819
30.0,3000,19118.260093
30.0,3000,19213.657715
30.0,3000,19300.662449
30.0,3000,19387.781
31.0,3000,19472.616026
30.0,3000,19557.733757
30.0,3000,19644.895305
30.0,3000,19729.919583
30.0,3000,19816.312777
30.0,3000,19901.371915
29.0,3000,19987.186246
30.0,3000,20071.93972
30.0,3000,20156.924371
30.0,3000,20242.111216
30.0,3000,20330.847834
30.0,3000,20416.981992
30.0,3000,20501.628109
30.0,3000,20586.990919
29.0,3000,20672.911457
30.0,3000,20757.65073
30.0,3000,20843.041589
30.0,3000,20928.424053
30.0,3000,21014.416954
30.0,3000,21099.268502
30.0,3000,21184.620784
29.0,3000,21269.401481
30.0,3000,21356.001148
30.0,3000,21441.749925
30.0,3000,21528.597885
30.0,3000,21614.177524
30.0,3000,21702.907541
30.0,3000,21789.649925
30.0,3000,21875.278295
30.0,3000,21960.77711
30.0,3000,22047.898203
30.0,3000,22134.7936
30.0,3000,22220.788589
30.0,3000,22306.728282
30.0,3000,22394.045919
30.0,3000,22480.197618
28.0,3000,22566.297409
29.0,3000,22653.022892
30.0,3000,22749.201052
30.0,3000,22844.837853
30.0,3000,22940.955468
29.0,3000,23036.220341
30.0,3000,23131.417485
30.0,3000,23227.041331
30.0,3000,23323.234563
30.0,3000,23419.675941
30.0,3000,23506.637616
30.0,3000,23592.739301
30.0,3000,23679.579257
30.0,3000,23765.48156
30.0,3000,23852.829223
30.0,3000,23939.001975
30.0,3000,24025.173391
30.0,3000,24110.88056
30.0,3000,24198.427536
30.0,3000,24284.524574
29.0,3000,24370.590051
30.0,3000,24456.940092
29.0,3000,24544.6297
30.0,3000,24630.779277
29.0,3000,24716.74957
29.0,3000,24803.251911
30.0,3000,24899.167805
30.0,3000,24994.863314
30.0,3000,25091.382931
30.0,3000,25187.584223
31.0,3000,25283.660526
29.0,3000,25379.499205
30.0,3000,25475.367086
30.0,3000,25571.241947
31.0,3000,25667.549538
31.0,3000,25763.722594
30.0,3000,25859.441938
30.0,3000,25955.213867
30.0,3000,26051.348336
30.0,3000,26147.96356
30.0,3000,26244.607158
30.0,3000,26341.110339
30.0,3000,26428.585552
30.0,3000,26515.581287
30.0,3000,26602.18835
30.0,3000,26688.988079
30.0,3000,26776.392337
30.0,3000,26863.62917
30.0,3000,26950.857577
30.0,3000,27037.311432
30.0,3000,27134.214568
30.0,3000,27230.687356
30.0,3000,27327.794596
30.0,3000,27425.096204
30.0,3000,27513.334475
30.0,3000,27600.849077
30.0,3000,27688.172233
29.0,3000,27775.955278
31.0,3000,27864.660047
30.0,3000,27951.724382
29.0,3000,28038.716251
30.0,3000,28125.415582
