#{"t_start": 1654887123.7000287, "env_id": "SlimeVolley-v0"}
r,l,t
-5,545,0.111213
-5,783,0.22922
-5,669,0.334209
-5,491,0.406218
-4,575,0.503218
-5,473,0.580183
-5,539,0.662192
-5,640,0.762183
-5,619,0.861215
-5,805,0.982221
-5,574,1.078204
-5,527,1.156184
-5,535,1.245196
-5,611,1.33728
-4,703,1.441288
-5,626,1.534281
-5,668,1.636285
-5,679,1.73228
-5,561,1.81728
-5,769,1.923273
-5,431,1.997291
-4,743,2.104246
-5,646,2.195693
-4,831,2.317703
-5,601,2.410668
-5,777,2.519693
-5,607,2.609666
-5,533,2.688665
-5,454,2.758706
-5,529,2.836665
-5,681,2.931665
-5,634,3.024663
-4,677,3.131958
-5,575,3.211929
-5,619,3.300966
-5,742,3.412953
-5,587,3.500966
-5,586,3.584929
-5,501,3.656969
-5,393,3.715928
-5,611,3.811949
-5,653,3.903933
-5,567,3.984965
-5,550,4.068982
-5,534,4.170017
-5,374,4.224018
-5,606,4.319988
-5,596,4.40717
-5,1018,4.568142
-5,586,4.664143
-5,477,4.742142
-5,598,4.832181
-5,500,4.908184
-5,584,4.992171
-4,740,5.10017
-5,530,5.176177
-5,445,5.243177
-4,826,5.366181
-5,457,5.43217
-5,586,5.517179
-5,617,5.61017
-5,592,5.699179
-5,657,5.802144
-5,682,5.897143
-5,543,5.977141
-5,378,6.035141
-5,800,6.153168
-5,569,6.23517
-5,648,6.334145
-5,735,6.43917
-5,602,6.524147
-5,714,6.626389
-5,556,6.711423
-5,643,6.805404
-5,607,6.890417
-4,512,6.968399
-5,706,7.073425
-5,382,7.127426
-5,515,7.20061
-5,432,7.260585
-4,998,7.413619
-5,584,7.495582
-5,769,8.017583
-5,449,8.365583
-5,657,9.138683
-5,588,9.6808
-5,499,10.103803
-4,670,10.744387
-5,803,11.380219
-5,476,11.744131
-5,421,12.131984
-5,636,12.702156
-5,618,13.211305
-5,573,13.658196
-5,462,14.097691
-5,472,14.582405
-5,473,14.980069
-5,516,15.397133
-5,491,15.849366
-5,496,16.348751
-5,638,16.864292
-5,426,17.185887
-5,518,17.657645
-5,393,18.079204
-5,578,18.574011
-5,543,19.014501
-5,771,19.769045
-5,476,20.151845
-5,831,20.832561
-5,375,21.113844
-5,466,21.560106
-5,911,22.405925
-5,491,22.851712
-5,620,23.328844
-4,626,23.915397
-5,570,24.438164
-5,532,24.867337
-5,582,25.37381
-5,475,25.817997
-5,622,26.400911
-5,735,26.988953
-4,585,27.459953
-5,607,28.055598
-5,491,28.473626
-5,912,29.231411
-5,500,29.682943
-5,635,30.312706
-5,635,30.810464
-5,503,31.230419
-5,442,31.584068
-5,424,31.921948
-5,549,32.514825
-5,535,32.962449
-4,576,33.416209
-5,529,33.899788
-5,458,34.373326
-5,541,34.858545
-4,562,35.31167
-5,482,35.748968
-4,656,36.365805
-5,688,36.953109
-5,539,37.36375
-5,542,37.895819
-5,721,38.518229
-5,684,39.092276
-5,752,39.705052
-4,731,40.524197
-5,512,40.920334
-5,654,41.485488
-5,428,41.823299
-5,580,42.35253
-5,477,42.831589
-5,785,43.488692
-5,594,44.030478
-5,707,44.69788
-5,606,45.168312
-5,483,45.581094
-5,463,45.945069
-5,632,46.497754
