#{"t_start": 1654785358.913642, "env_id": "SlimeVolley-v0"}
r,l,t
-5,421,0.438662
-5,584,0.843704
-5,695,1.650015
-5,707,3.749397
-5,602,4.120515
-5,653,4.518269
-5,470,6.424976
-4,662,6.973565
-5,700,7.411897
-5,597,7.777471
-5,458,9.407896
-4,604,9.779341
-4,547,10.121629
-5,671,12.005176
-5,550,12.35177
-4,656,12.754001
-5,459,13.033496
-5,525,14.846142
-4,573,15.20488
-5,493,15.514199
-4,768,17.493518
-5,681,17.949859
-5,717,18.391269
-5,513,18.704329
-5,643,20.582547
-5,601,20.951048
-5,491,21.251316
-5,681,23.173362
-5,482,23.462055
-5,666,23.874428
-5,543,24.21397
-5,529,25.961036
-5,740,26.409782
-5,510,26.722426
-5,682,28.714146
-4,1041,29.348027
-5,503,29.658416
-5,543,31.464886
-5,542,31.844174
-5,645,32.255946
-5,450,34.013081
-5,685,34.490156
-5,433,34.797274
-5,582,35.155396
-5,599,37.014522
-5,514,37.327591
-5,390,37.566053
-5,522,37.890561
-5,794,39.882563
-5,522,40.205899
-5,718,40.64439
-5,609,42.45511
-5,523,42.780424
-5,761,43.24727
-4,660,45.146495
-5,460,45.441759
-5,686,45.863933
-5,565,46.210095
-5,529,48.156097
-5,651,48.690785
-5,560,49.044304
-5,514,50.810296
-5,666,51.26857
-5,519,51.593283
-5,856,53.49163
-5,710,54.021736
-4,752,54.483532
-4,711,56.401606
-5,410,56.67466
-5,629,57.060026
-5,395,57.301328
-5,682,59.163268
-5,524,59.499433
-4,627,59.889235
-5,687,60.303951
-5,630,62.128774
-5,471,62.418144
-5,470,62.706731
-5,459,62.98444
-5,585,64.853384
-5,489,65.146218
-5,499,65.454587
-5,489,65.755132
-5,597,67.62057
-5,460,67.910704
-5,509,68.223391
-5,502,69.993849
-5,853,70.549474
-5,688,70.967873
-5,500,71.2742
-5,518,73.11201
-5,434,73.379514
-5,573,73.734816
-5,491,74.033672
-3,632,75.963991
-5,458,76.250495
-5,385,76.482767
-5,675,78.25669
-5,416,78.577667
-5,660,78.98915
-5,387,79.227695
-5,492,79.527438
-5,461,81.317384
-5,697,81.743797
-5,631,82.13145
-5,741,84.09717
-5,510,84.412016
-5,566,84.758982
-5,579,86.657363
-5,407,86.929031
-5,448,87.196871
-5,449,87.466857
-3,651,87.867738
-5,688,89.7825
-5,482,90.078621
-4,702,90.507718
-5,453,92.229912
-5,729,92.68945
-5,657,93.096828
-5,510,94.878093
-5,517,95.206392
-5,563,95.551685
-5,531,95.883587
-4,872,97.924292
-4,646,98.321519
-5,836,98.833482
-5,674,100.763726
-5,857,101.279794
-5,836,103.375434
-5,672,103.797665
-5,551,104.127486
-4,618,105.969095
-5,512,106.315869
