#{"t_start": 1658063674.9395127, "env_id": null}
r,l,t
-1,747,0.185994
1,723,0.338983
1,771,0.458983
-1,773,0.575986
-2,652,0.694014
-2,708,0.819988
3,619,0.910984
3,574,0.995983
3,623,1.105021
-1,739,1.240021
1,747,1.35325
-1,678,1.451253
5,425,1.521279
-3,595,1.612288
5,407,1.674263
2,670,1.776284
3,613,1.88129
-4,615,1.972292
-2,752,2.087278
4,491,2.157277
-4,463,2.232284
4,468,2.311288
4,463,2.38028
4,469,2.448249
3,549,2.543285
3,609,2.627279
-2,655,2.723284
2,771,2.836834
-1,722,2.946296
-1,808,3.099306
4,533,3.213274
-2,675,3.361269
-3,672,3.49627
2,651,3.616307
-2,741,3.733307
-3,735,3.848268
2,636,3.954273
1,740,4.063268
1,738,4.231791
-2,677,4.332794
-3,658,4.449793
1,720,4.559853
-1,752,4.711793
3,589,4.827796
5,390,4.894811
1,838,5.023793
2,798,5.148793
3,545,5.224793
2,644,5.334791
2,629,5.432793
-5,438,5.494793
-1,764,5.607797
3,580,5.706818
-5,436,5.787809
-2,646,5.908798
-2,738,6.044829
-3,571,6.147807
3,528,6.24683
-3,560,6.352792
1,736,6.478796
-2,661,6.611837
-4,466,6.695794
4,473,6.77983
5,388,6.844799
4,489,6.932796
2,618,7.056809
-4,476,7.130794
-2,627,7.229379
4,505,7.316414
4,484,7.385418
1,856,7.510397
1,718,7.630379
-4,501,7.745391
1,777,7.894379
-4,497,7.97538
1,752,8.080379
3,606,8.177378
-1,755,8.318417
-2,690,8.48138
2,641,8.835405
2,604,9.538382
2,675,10.299391
4,508,10.926395
-3,533,11.432379
-1,831,12.236491
3,562,12.813494
-1,755,13.607493
-1,804,14.438505
1,787,15.219493
-5,445,15.7515
3,557,16.239493
-4,473,16.655494
3,564,17.202491
-3,566,17.754493
-5,377,18.238493
1,755,18.937493
5,400,19.304494
-4,504,19.848499
1,695,20.575493
1,719,21.299505
-1,814,22.140492
3,574,22.676058
1,704,23.393062
2,634,24.042062
5,445,24.450058
-3,565,24.963059
1,828,25.805059
-4,471,26.178506
-2,621,26.778504
-5,447,27.407683
2,669,28.170949
1,905,28.965904
-1,687,29.618904
1,777,30.341903
2,677,31.005904
2,790,31.689932
4,484,32.170903
-1,788,32.905268
2,670,33.505311
-1,685,34.223396
-1,697,34.940398
3,568,35.4714
-5,486,36.013398
3,641,36.647398
1,762,37.372399
4,458,37.8564
-5,437,38.2514
1,696,38.986397
3,612,39.556948
1,761,40.270967
3,653,40.920594
-2,742,41.578591
4,462,41.99859
4,458,42.437569
2,623,43.094647
-1,798,43.816713
1,785,44.551717
3,730,45.229715
3,611,45.940714
-4,552,46.436714
1,818,47.256291
-5,387,47.653396
-1,825,48.501393
3,580,49.042912
-4,483,49.543861
-2,693,50.24188
1,718,51.020894
-4,530,51.514862
3,638,52.095861
2,654,52.675967
3,636,53.377983
3,584,53.892079
-4,483,54.338595
3,581,54.902597
-2,732,55.633599
-3,539,56.217597
3,701,56.900646
-5,436,57.310691
-1,685,58.013012
-4,552,58.278011
5,378,58.350011
-2,668,58.45016
2,632,58.546837
3,616,58.634814
-1,727,58.73885
-3,576,58.819848
1,695,58.926851
3,623,59.016853
-5,499,59.107847
-3,557,59.191819
3,574,59.278839
1,721,59.384836
-4,523,59.456856
3,547,59.53381
1,816,59.656855
2,740,59.76381
-1,823,59.892838
-4,478,59.956849
3,640,60.051908
3,663,60.143645
-2,642,60.238631
-1,774,60.349628
-3,593,60.435645
1,803,60.554626
1,882,60.682757
-4,574,60.764763
1,753,60.875814
4,469,60.945827
2,695,61.053824
3,552,61.135863
-1,835,61.26083
-1,711,61.373824
2,658,61.469872
2,741,61.580852
-2,652,61.677849
-4,498,61.755857
-3,546,61.837842
3,593,61.921864
-2,611,62.008863
-2,709,62.115827
-2,753,62.232863
-1,734,62.336824
2,714,62.439865
-4,525,62.514822
2,647,62.603823
-1,840,62.747827
-5,413,62.80686
4,489,62.881864
4,487,62.953869
-1,757,63.064852
3,684,63.162893
-2,643,63.261826
3,588,63.347826
1,753,63.456865
-1,798,63.576872
4,509,63.651913
-3,648,63.747928
-5,404,63.80391
-1,681,63.901901
-4,504,63.973914
-2,615,64.067874
-4,467,64.136912
1,781,64.253909
-2,724,64.361901
-1,706,64.460872
4,463,64.528873
-2,636,64.625794
-3,553,64.705779
-1,765,64.819751
3,547,64.897756
-4,496,64.968752
-3,553,65.046766
2,612,65.135752
1,700,65.235789
-2,734,65.344991
-2,647,65.443135
1,722,65.551106
-1,762,65.661135
1,754,65.769136
3,621,65.853127
-1,746,65.963134
-3,633,66.05613
3,539,66.139094
2,709,66.240097
-3,616,66.335122
-3,541,66.415153
-3,529,66.493182
-3,619,66.585171
1,765,66.699148
-5,409,66.758185
1,705,66.862145
-1,746,66.971184
2,635,67.06616
-1,713,67.17416
2,767,67.288196
-3,563,67.37816
2,697,67.508173
-4,531,67.587184
-3,582,67.676173
1,679,68.354686
2,668,69.039718
-3,589,69.579712
2,706,70.389711
1,787,71.117741
-2,801,71.873296
-2,810,72.587299
-1,695,73.321825
2,721,73.971822
1,819,74.73182
-2,663,75.292821
-1,720,76.069822
4,521,76.588071
-4,446,76.989071
-2,682,77.633633
-3,631,78.29564
4,529,78.75263
-5,475,79.203637
-4,568,79.728631
-2,681,80.374178
-4,486,80.934556
-1,779,81.69779
3,526,82.217862
-2,774,82.989858
3,545,83.487859
3,555,83.998395
-2,617,84.54639
-2,635,85.204923
-2,694,85.863004
4,460,86.304004
2,589,86.812645
3,569,87.344647
4,475,87.746164
2,680,88.463165
-1,724,89.124163
2,599,89.630163
-3,599,90.276166
-2,716,90.942689
-2,680,91.585689
4,529,92.139688
-1,750,92.856686
-2,721,93.492692
-3,525,93.96596
-3,653,94.537961
-3,510,95.101959
2,722,95.798492
-3,609,96.326489
3,561,96.911014
2,638,97.503015
5,371,97.846031
1,791,98.577028
1,721,99.307638
-1,885,100.120614
-2,682,100.790614
-3,583,101.322611
1,758,102.093635
-1,709,102.740718
-2,681,103.404721
-4,555,104.04172
2,716,104.765243
-2,667,105.46524
3,575,106.018247
3,598,106.618753
-1,736,107.396754
-3,657,108.028751
-1,726,108.697753
1,682,109.343754
-3,616,110.033753
-1,719,110.723753
-1,738,111.440753
-1,741,112.209754
1,718,112.948753
5,389,113.335754
3,632,113.915754
-1,759,114.601753
-1,816,115.468751
-2,680,116.145753
3,622,116.781761
2,656,117.455032
1,866,118.406626
-2,700,119.074143
-1,769,119.838145
5,379,120.202151
4,517,120.731145
