#{"t_start": 1657662919.6905906, "env_id": null}
r,l,t
2,664,0.675658
-3,598,1.070688
-2,735,1.865434
-4,505,3.869645
-2,625,4.372241
-3,517,4.804583
4,492,6.418923
1,700,6.836423
3,614,7.180528
3,668,7.736513
-1,692,9.6676
3,572,10.020183
2,687,10.444088
-3,566,12.193494
-1,790,12.707582
-2,663,13.118345
2,671,15.001904
-3,569,15.358149
-2,748,15.83962
3,599,17.572232
-1,760,18.040776
-1,728,18.496336
2,631,20.318838
-2,674,20.753792
-1,793,21.247891
-4,502,22.853415
-1,737,23.317872
2,661,23.740322
-1,795,25.67204
-3,564,26.022919
-5,412,26.283165
4,514,26.609617
-2,704,28.39137
1,692,28.838605
-3,615,29.221205
-1,750,31.042659
-3,682,31.481489
1,792,33.365667
3,683,33.798909
-1,736,34.249607
-1,717,36.048819
4,544,36.411896
-2,668,36.836809
-1,829,38.694375
2,703,39.156215
-3,532,39.497635
-3,610,39.887294
3,553,41.584944
1,712,42.023424
-3,550,42.363187
3,528,44.097942
3,525,44.440354
-4,490,44.764848
5,445,45.039327
1,701,46.775436
-4,481,47.078035
2,719,47.541975
-2,662,49.394262
1,723,49.848128
5,373,50.088596
-2,719,50.534071
4,455,52.132983
-3,553,52.49121
4,517,52.825666
-3,617,54.549686
-3,564,54.919083
-2,646,55.334074
-4,534,55.671767
1,698,57.45567
3,541,57.784707
-5,399,58.030278
5,483,58.325233
-2,650,60.127231
2,661,60.545752
-2,648,60.965482
3,700,62.751383
1,687,63.192252
2,675,63.622228
-2,659,65.454658
-3,588,65.81426
2,780,66.298043
-1,859,68.247185
-4,488,68.565359
3,560,68.916449
-5,410,70.499409
-2,633,70.920138
4,480,71.218809
1,736,71.683634
4,477,73.362176
-2,641,73.770332
-3,575,74.123329
-2,754,75.898371
-4,482,76.215955
1,733,76.69071
-5,419,76.951702
1,812,78.781432
-1,729,79.247085
2,704,79.696032
-2,595,81.425066
1,784,81.899943
2,653,82.297842
-3,576,84.024905
1,760,84.515224
5,412,84.777973
5,392,86.3097
-2,707,86.770351
4,450,87.058863
3,535,87.395788
4,472,89.094942
-2,728,89.563237
-2,666,89.972305
3,630,91.698351
4,518,92.040487
2,594,92.426588
3,706,92.880344
1,707,94.720414
-3,587,95.092085
5,439,95.376036
-1,730,97.225748
-1,746,97.68033
-2,654,98.076759
3,552,99.792606
-1,782,100.298008
4,474,100.616914
2,626,102.283386
3,574,102.667757
3,587,103.045691
-1,855,104.968381
-3,637,105.388177
2,649,105.782543
1,715,107.627262
3,620,108.056733
-1,899,108.633376
3,612,110.410611
1,839,110.961673
2,669,111.378399
2,803,113.377269
1,770,113.860968
3,568,114.207594
3,571,115.915012
-1,772,116.424546
-4,567,116.7973
5,420,117.054641
-1,789,118.902709
-1,769,119.395974
-3,676,121.167813
-2,674,121.605089
2,749,122.063443
-3,578,123.791241
3,603,124.221661
1,749,124.714308
-3,675,126.49207
2,618,126.920294
2,694,127.3704
-3,622,127.758829
1,748,129.613207
-4,470,129.905542
4,549,130.534583
3,577,130.841186
2,705,131.222288
1,806,131.655748
3,605,131.986375
2,703,132.370613
3,629,132.714776
1,751,133.108587
2,609,133.416013
2,705,133.782102
-1,840,134.217874
4,563,134.51215
-4,514,134.78206
-3,601,135.107176
-1,856,135.564131
1,802,135.994061
3,580,136.311877
4,466,136.564783
-3,604,136.887315
5,379,137.082264
-1,706,137.443405
2,675,137.791667
-3,722,138.164957
2,661,138.510493
3,669,138.861143
2,734,139.246487
1,730,139.635365
-4,497,139.902937
3,554,140.198261
-3,622,140.534945
-1,901,141.007893
1,829,141.430875
2,682,141.786745
-2,752,142.173796
2,683,142.529605
1,782,142.941191
-4,488,143.208155
-1,766,143.621617
2,670,143.984395
1,740,144.384579
3,574,144.701106
4,557,144.991295
3,601,145.299376
-2,713,145.666934
