#{"t_start": 1657636542.6587317, "env_id": null}
r,l,t
-5,406,0.519078
-1,705,1.044085
2,662,1.63711
3,556,4.122075
-1,745,4.719079
-4,495,5.067101
2,633,6.914198
-2,659,7.370982
-5,436,7.648379
4,515,7.976699
3,540,9.820358
4,486,10.131474
4,497,10.442214
-4,507,10.759893
-3,566,12.581708
-4,506,12.92645
2,681,13.343867
-4,462,13.629531
-3,609,15.416948
-2,678,15.908616
2,626,16.308592
2,616,18.249675
4,533,18.593307
-1,699,19.026756
-5,408,19.281027
-4,523,21.064542
-1,780,21.542159
3,603,21.907887
1,765,23.812028
-4,505,24.132091
3,565,24.500166
-1,727,26.374846
1,767,26.85279
5,452,27.135015
1,754,28.993581
-4,533,29.325375
-3,570,29.675262
2,666,30.080703
3,591,31.878115
2,628,32.277782
3,596,32.664108
3,536,34.390729
-5,370,34.629398
1,751,35.100076
3,580,35.468879
-2,672,37.319792
4,525,37.63546
-1,741,38.087558
-1,673,39.931738
-3,549,40.288215
3,754,40.770031
4,482,42.447772
2,655,42.867845
-2,674,43.285504
-2,641,45.157128
3,541,45.514653
-1,728,45.962895
-4,489,46.262743
4,482,48.027586
3,560,48.392743
1,729,48.876408
-3,517,50.558485
3,639,51.001206
5,441,51.280647
4,561,51.635262
2,679,53.493646
1,791,53.980579
1,715,54.418931
-2,621,56.279777
1,726,56.752312
-2,632,57.150189
3,638,58.964844
2,677,59.394092
4,494,59.71401
-1,789,61.709137
-1,749,62.168728
-1,774,62.646105
4,536,64.45165
-3,569,64.826418
4,514,65.153235
4,525,65.477357
2,607,67.268749
-2,621,67.666798
-3,563,68.031115
-2,625,69.857041
-3,580,70.227219
1,698,70.66476
1,738,72.630544
4,548,73.00494
1,705,73.44059
2,760,75.35158
5,404,75.633457
1,740,76.108775
2,683,76.542789
-1,741,78.411912
-1,763,78.885322
2,704,80.826391
-2,663,81.297762
2,630,81.687477
1,716,83.520545
4,481,83.883529
-2,640,84.297355
-2,673,84.730875
5,423,86.369132
-1,803,86.877389
-3,596,87.252159
-2,682,89.101505
2,627,89.492285
1,699,89.916738
-2,687,91.838078
3,583,92.230543
1,715,92.691283
2,607,94.496467
-4,512,94.864758
1,738,95.340696
3,594,95.71577
5,396,97.417029
2,751,97.879497
-1,696,98.301265
2,649,100.144049
-3,558,100.514791
-3,568,100.880322
2,671,102.619426
-3,631,103.043441
3,558,103.398959
-2,631,103.797465
1,720,105.70766
-4,476,106.000808
-4,482,106.297804
4,475,106.594659
-2,685,108.470975
-4,547,108.828629
-1,737,109.277342
-2,685,111.041811
5,395,111.292892
-1,716,111.746041
-1,812,113.666669
-1,768,114.137619
-3,578,114.493904
-4,564,116.270264
-3,591,116.653683
3,555,117.002103
3,600,117.368686
3,605,119.151016
4,519,119.477181
3,551,119.826692
3,594,121.589895
