#{"t_start": 1658138944.8868062, "env_id": null}
r,l,t
-3,554,19.459055
3,600,40.914734
-2,671,65.373111
3,667,89.381496
-1,769,116.912325
-3,582,135.52408
2,677,161.420473
2,660,187.583664
-1,705,214.931625
-3,547,235.764139
-2,687,261.891228
-3,585,284.088168
-2,840,316.647627
1,706,340.490785
3,551,361.372809
2,670,387.027699
1,880,420.816634
-2,718,445.795862
-1,772,471.128857
1,697,497.181142
2,655,522.764244
-1,737,550.66684
-4,472,568.509669
-2,681,594.343236
2,683,620.398005
-2,672,645.906802
-1,797,675.969269
-1,774,705.34097
-4,491,723.994032
-2,643,749.118128
-1,722,776.68129
4,562,797.923052
-3,619,821.500093
-2,711,848.24998
-2,809,878.52706
-2,741,905.371101
-2,730,929.111044
1,751,953.140092
4,465,967.995094
-2,713,990.713609
1,875,1018.489764
2,719,1041.825696
3,666,1062.392696
5,381,1074.412695
4,617,1094.568268
1,728,1117.909253
2,669,1139.73926
-1,852,1171.066776
-1,818,1202.068793
1,777,1230.859417
-3,575,1252.410429
4,518,1271.880656
4,458,1289.126779
-3,608,1311.663721
-2,675,1337.11443
-1,803,1367.075396
-1,711,1394.332409
3,575,1415.561249
-5,425,1431.383391
1,809,1460.962409
-4,526,1482.079687
-1,752,1509.834447
4,471,1527.23254
-1,763,1554.65628
3,606,1576.916925
5,432,1592.949493
4,466,1610.557622
2,693,1636.592945
3,542,1658.041323
2,634,1682.17351
1,798,1712.806592
-5,416,1728.669637
-3,585,1751.389785
1,720,1778.59444
-1,756,1807.342191
3,610,1830.716441
4,563,1852.938928
-2,716,1880.574232
2,702,1906.898671
-1,720,1934.370238
-3,613,1961.244143
5,405,1974.887149
3,554,1992.077031
-2,655,2006.608413
-3,568,2019.294264
4,542,2031.313239
1,759,2047.849572
5,452,2057.749792
2,659,2073.804695
-3,583,2087.333621
-4,443,2097.819037
-2,670,2115.134267
-1,745,2132.413311
1,760,2149.646244
3,602,2163.673242
3,587,2176.873483
2,639,2191.438293
1,744,2208.149235
4,551,2220.617434
-2,619,2234.496705
